layer,trait_name,file,weight,rarity_tier,notes
background,Neon Alley,skunk_squad_traits.json/1.background/background_common_alley.png,25,common,
background,Castle,skunk_squad_traits.json/1.background/Background_common_castle.png,25,common,
background,Temple Ruins,skunk_squad_traits.json/1.background/Background_legendary_templeruins.png,25,legendary,
background,Space,skunk_squad_traits.json/1.background/background_mythic_space.png,10,mythic,
background,skunkworks,skunk_squad_traits.json/1.background/background_rare_skunkworks.png,15,common,
body,Base Body,skunk_squad_traits.json/2.main_image/image_main.png,100,common,required
tail,Gold Tail,C:\Users\marcf\Desktop\SkunkSquad\skunk_squad_traits.json\1.tail\Tail_common_gold.png,70,common,
tail,EThertail,C:\Users\marcf\Desktop\SkunkSquad\skunk_squad_traits.json\1.tail\Tail_rare_ethertail.png,25,rare,
tail,common Gold,skunk_squad_traits.json/3.Tail/tail_common_gold.png,5,common,
tail,common Green,skunk_squad_traits.json/3.Tail/tail_common_green.png,5,common,
tail,common Plain,skunk_squad_traits.json/3.Tail/tail_common_plain.png,5,common,
tail,common Red,skunk_squad_traits.json/3.Tail/Tail_common_red.png,5,common,
tail,rare Splittail Blue,skunk_squad_traits.json/3.Tail/tail_rare_splittail_blue.png,5,rare,
tail,rare Splittail Gold,skunk_squad_traits.json/3.Tail/tail_rare_splittail_gold.png,5,rare,
tail,rare Splittail Plain,skunk_squad_traits.json/3.Tail/tail_rare_splittail_plain.png,5,rare,
tail,rare Splittail Purple,skunk_squad_traits.json/3.Tail/tail_rare_splittail_purple.png,5,rare,
tail,legendary Nuclearneon,skunk_squad_traits.json/3.Tail/tail_legendary_nuclearneon.png,5,legendary,
tail,legendary Ruby Gold,skunk_squad_traits.json/3.Tail/tail_legendary_ruby_gold.png,5,legendary,
tail,legendary Starry,skunk_squad_traits.json/3.Tail/tail_legendary_starry.png,5,legendary,
tail,legendary Ruby Red,skunk_squad_traits.json/3.Tail/tail_legendary_ruby_red.png,5,legendary,
head,Common burger,skunk_squad_traits.json/4.head/head_common_burger.png,100,common,
head,Legendary burger,skunk_squad_traits.json/4.head/head_common_burger.png,100,legendary,
head,Common commando,skunk_squad_traits.json/4.head/head_common_commando.png,100,common,
head,rare Punk,skunk_squad_traits.json/4.head/head_rare_punk.png,100,rare,
head,rare Blindfold,skunk_squad_traits.json/4.head/head_rare_blindfold.png,100,rare,
arm_right,plain,skunk_squad_traits.json/5.hand-right/hand_right_common_plain.png,60,common,
arm_right,Feather,skunk_squad_traits.json/5.hand-right/hand_right_common_feather.png,20,legendary,
arm_right,Katana,skunk_squad_traits.json/5.hand-right/hand_right_legendary_katana.png,20,rare,
arm_left,Plain,skunk_squad_traits.json/6.hand_left/hand_left_common_plain.png,65,common,
arm_left,lighter,skunk_squad_traits.json/6.hand_left/hand_left_rare_lighter.png,20,rare,
arm_left,nftrocket,skunk_squad_traits.json/6.hand_left/hand_left_legendary_nftrocket.png,15,rare,optional
emblem,common None,skunk_squad_traits.json/8.emblem/emblem_common_none.png,50,common,
emblem,common Grump,skunk_squad_traits.json/8.emblem/emblem_common_grump.png,30,common,
emblem,rare Cammoglobe,skunk_squad_traits.json/8.emblem/emblem_rare_cammoglobe.png,15,rare,
emblem,rare Sassy,skunk_squad_traits.json/8.emblem/emblem_rare_sassy.png,5,rare,
emblem,rare Yinyang,skunk_squad_traits.json/8.emblem/emblem_rare_yinyang.png,5,rare,
emblem,legendary Fire,skunk_squad_traits.json/8.emblem/emblem_legendary_fire.png,5,legendary,
badge,mythic Opensail,skunk_squad_traits.json/8.emblem/emblem_mythic_opensail.png,5,mythic,
shoes,common BlackBoots,skunk_squad_traits.json/7.Shoes/shoes_common_blackboots.png,60,common,optional
shoes,common Rainboots,skunk_squad_traits.json/7.Shoes/shoes_common_rainboots.png,40,common,
shoes,rare Suade,C:\Users\marcf\Desktop\SkunkSquad\skunk_squad_traits.json\1.shoes\Shoes_rare_suade.png,20,rare,
shoes,rare Sandals,skunk_squad_traits.json/7.Shoes/shoes_rare_sandals.png,20,rare,
shoes,rare SkSneakers,skunk_squad_traits.json/7.Shoes/shoes_rare_sksneakers.png,20,rare,
shoes,rare Greenheart,skunk_squad_traits.json/7.Shoes/shoes_rare_greenheart.png,25,rare,
shoes,legendary Sandals,C:\Users\marcf\Desktop\SkunkSquad\skunk_squad_traits.json\1.shoes\Shoes_legendary_sandals.png,15,legendary,
shoes,mythic Nuclearneon,skunk_squad_traits.json/7.Shoes/shoes_mythic_nuclearneon.png,10,mythic,
